id	chromosom	version	taxon	definition	organism	kingdom	phylum	class	order	family	genus	species
NC_000913	NC_000913	NC_000913.3	511145	Escherichia coli str. K-12 substr. MG1655, complete genome.	Escherichia coli str. K-12 substr. MG1655	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	
NC_000963	NC_000963	NC_000963.1	272947	Rickettsia prowazekii str. Madrid E chromosome, complete genome.	Rickettsia prowazekii str. Madrid E	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia prowazekii	
NC_000964	NC_000964	NC_000964.3	224308	Bacillus subtilis subsp. subtilis str. 168 chromosome, complete	Bacillus subtilis subsp. subtilis str. 168	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	
NC_001263	NC_001263,NC_001264	NC_001263.1,NC_001264.1	243230	Deinococcus radiodurans R1 chromosome 1, complete sequence.	Deinococcus radiodurans R1	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans	
NC_002488	NC_002488	NC_002488.3	160492	Xylella fastidiosa 9a5c, complete genome.	Xylella fastidiosa 9a5c	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	
NC_002516	NC_002516	NC_002516.2	208964	Pseudomonas aeruginosa PAO1 chromosome, complete genome.	Pseudomonas aeruginosa PAO1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	
NC_002570	NC_002570	NC_002570.2	272558	Bacillus halodurans C-125 DNA, complete genome.	Bacillus halodurans C-125	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus halodurans	
NC_002578	NC_002578	NC_002578.1	273075	Thermoplasma acidophilum DSM 1728 complete genome.	Thermoplasma acidophilum DSM 1728	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma acidophilum	
NC_002678	NC_002678	NC_002678.2	266835	Mesorhizobium loti MAFF303099 DNA, complete genome.	Mesorhizobium loti MAFF303099	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Mesorhizobium loti	
NC_002689	NC_002689	NC_002689.2	273116	Thermoplasma volcanium GSS1 DNA, complete genome.	Thermoplasma volcanium GSS1	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	
