SampleID	LONGITUDE	LATITUDE	COUNTRY	Soil_Order	Order_Name
KH9.488318	-97.3895	31.0783	GAZ:United States of America	6	Vertisols
DP.41.42A.2.646735	-72.7	42.17566	GAZ:United States of America	10	Alfisols
MF.2.ORG.660524	-155.763516	20.125797	GAZ:United States of America	4	Andisols
KA3U.E.09.674067	-88.230357	41.840717	GAZ:United States of America	9	Mollisols
Biofilm.A.DC.2.W.2012.733897	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
UPMain.22.23.646670	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA2F.E.24.674070	-88.230357	41.841125	GAZ:United States of America	9	Mollisols
UPMain.84.85.646762	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Soil.BE.PolygonA.Medium.Rim.7.28.2012.1.733915	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
Hopland.14C.Wood.TP1.04.590996	-123.07	38.99	GAZ:United States of America	9	Mollisols
KA1F.B.18.674203	-88.230357	41.841508	GAZ:United States of America	9	Mollisols
KA3F.A.11.674138	-88.230357	41.840732	GAZ:United States of America	9	Mollisols
H.1.15.660500	-155.782721	20.108034	GAZ:United States of America	4	Andisols
KA3U.A.14.674708	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
UPSub.31.32.646627	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Soil.BE.PolygonC.Shallow.Center.7.28.2012.733930	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
KA3U.D.19.674596	-88.230357	41.840726	GAZ:United States of America	9	Mollisols
TVF.2010.Loc3.D0.Rep3.414500	-145.69	64.33	GAZ:United States of America	0	Sand,Rock,Ice
KA3F.B.09.674213	-88.230357	41.840725	GAZ:United States of America	9	Mollisols
KA3F.E.20.674123	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
KH55.488272	-97.3895	31.0783	GAZ:United States of America	6	Vertisols
TVF.2004.Loc5.D10.Rep4.414480	-145.64	64.35	GAZ:United States of America	11	Inceptisols
KA3F.C.04.674277	-88.230357	41.840718	GAZ:United States of America	9	Mollisols
KA1U.E.06.674439	-88.230357	41.84151	GAZ:United States of America	9	Mollisols
KA3U.D.16.674361	-88.230357	41.840726	GAZ:United States of America	9	Mollisols
KA3U.C.19.674447	-88.230357	41.840715	GAZ:United States of America	9	Mollisols
M.2.15.660564	-155.764218	20.123285	GAZ:United States of America	4	Andisols
KA2F.D.25.674391	-88.230357	41.84112	GAZ:United States of America	9	Mollisols
KA2F.D.04.674145	-88.230357	41.84112	GAZ:United States of America	9	Mollisols
KA2U.B.11.674637	-88.230357	41.841114	GAZ:United States of America	9	Mollisols
A1.low.16to0.2.647002	-156.41705	71.246483	GAZ:United States of America	1	Gelisols
KA1U.D.08.674201	-88.230357	41.841527	GAZ:United States of America	9	Mollisols
TVF.Control.Loc5.D0.Rep2.414476	-145.8	64.33	GAZ:United States of America	11	Inceptisols
TVF.Control.Loc4.D0.Rep5.414487	-145.8	64.33	GAZ:United States of America	11	Inceptisols
KH41.488303	-97.3895	31.0783	GAZ:United States of America	6	Vertisols
KA3F.C.09.674288	-88.230357	41.840718	GAZ:United States of America	9	Mollisols
UPMain.44.45.646807	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA1F.A.03.674144	-88.230357	41.841521	GAZ:United States of America	9	Mollisols
E.2.0.660508	-155.805003	20.098048	GAZ:United States of America	4	Andisols
MF.3.0.660588	-155.763516	20.125797	GAZ:United States of America	4	Andisols
Soil.BE.PolygonB.Shallow.Rim.7.8.2012.733910	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
UPMain.92.93.646780	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Hopland.20C.Control.TP1.03.590966	-123.07	38.99	GAZ:United States of America	9	Mollisols
KH45.488261	-97.3895	31.0783	GAZ:United States of America	6	Vertisols
KA2U.B.10.674337	-88.230357	41.841114	GAZ:United States of America	9	Mollisols
KH60.488319	-97.3895	31.0783	GAZ:United States of America	6	Vertisols
SKM3.640197	-117.241111	33.193611	GAZ:United States of America	10	Alfisols
KA3F.A.15.674572	-88.230357	41.840732	GAZ:United States of America	9	Mollisols
UPMain.124.125B.646887	-71.37761	42.06	GAZ:United States of America	10	Alfisols
Biofilm.B.E2.1.C.2012.733922	-156.766389	71.295556	GAZ:United States of America	1	Gelisols
UPSub.30.31.646936	-71.37761	42.06	GAZ:United States of America	10	Alfisols
KA3F.E.21.674429	-88.230357	41.840733	GAZ:United States of America	9	Mollisols
SV1.7.378550	-106.466218	31.712235	GAZ:United States of America	12	Entisols
UPSub.13.14.646957	-71.37761	42.06	GAZ:United States of America	10	Alfisols
