TaxID,Chromosomes/INSDC,,
1117943,HE616890.1,,
273075,AL139299.1,,
196627,BX927147.1,,
1185652,CP003563.1,,
1219375,CM002139.1,,
1260626,CM001763.1,,
313624,CM001793.1,,
1289591,CM002793.1,,
1300225,CM002025.1,CM002024.1,
931223,CM002177.1,,
1394180,CM002757.1,,
1395516,CM002330.1,,
1412842,CM002398.1,,
1412843,CM002401.1,,
1412844,CM002395.1,,
1457195,CM002755.1,,
257310,BX470250.1,,
100226,AL645882.2,,
169963,AL591824.1,,
527021,CM000747.1,,
218496,BX072543.1,,
682633,CM002796.1,,
272947,AJ235269.1,,
258594,BX571963.1,,
355249,CM001165.1,,
272626,AL592022.1,,
243265,BX470251.1,,
264462,BX842601.2,,
644651,FN392235.1,,
717962,FP929038.1,,
863767,FR720325.1,,
859655,FP885895.1,,
859656,FP885897.1,,
426114,FP475956.1,,
1064539,HE577327.1,,
1303518,HF951689.1,,
1214101,HE971709.1,,
264201,BX908798.1,,
406817,FN667742.1,,
977880,CU633750.1,CU633749.1,
56107,CP003642.1,,
1262456,CP004012.1,,
1343740,CP006567.1,,
476282,CP007569.1,,
1352355,CP006728.1,,
1408273,CP006983.1,,
1416753,CP007237.1,CP007236.1,
1435057,CP007226.1,CP007225.1,
82996,CP007439.1,,
93220,CP007506.1,,
1392,CP007704.1,,
1392,CP008752.1,,
1529886,CP007640.1,,
520465,CP007789.1,CP007788.1,
216778,CP007597.1,,
1495331,CP007638.1,,
155864,AE005174.2,,
657313,FP929055.1,,
657309,FP929033.1,,
718255,FP929050.1,,
763057,CP006581.1,,
272943,CP000144.2,CP000143.2,
953739,FR845719.1,,
379066,AP009153.1,,
334406,AP007209.1,,
340322,AP009044.1,,
395019,AP009386.1,AP009387.1,AP009385.1
452662,AP010804.1,AP010803.1,
452652,AP010968.1,,
455632,AP009493.1,,
304371,AP011532.1,,
484021,AP006725.1,,
378753,AP009152.1,,
512565,AP012319.1,,
358681,AP008955.1,,
634452,AP011121.1,,
634453,AP011128.1,,
634454,AP011135.1,,
634455,AP011142.1,,
634456,AP011149.1,,
634457,AP011156.1,,
634458,AP011163.1,,
561275,AP010918.1,,
573370,AP010904.1,,
137722,AP010946.1,,
583346,AP009049.1,,
608538,AP011112.1,,
632772,AP011115.1,,
645657,AP011541.1,AP011541.2,
650150,AP012027.1,,
926570,AP012035.1,,
932677,AP012032.1,,
1313172,AP012057.1,,
1002809,AP012157.1,,
1037409,AP012206.1,,
748280,AP012224.1,,
335659,AP012279.1,,
1089456,AP012280.1,,
748247,AP012304.1,,
1219084,AP014508.1,,
1245469,AP012603.1,,
1162668,AP012342.1,,
380358,FP565176.1,,
405948,AM420293.1,,
465817,CU468135.1,,
469008,AM946981.2,,
557722,FM209186.1,,
216595,AM181176.4,,
563174,FM211688.1,,
568819,FM242711.1,,
568814,FM252032.1,,
634499,FP236842.1,,
634500,FP236843.1,,
661367,FN650140.1,,
568708,FN424405.1,,
680198,FN554889.1,,
683837,FN557490.1,,
685727,FN563149.1,,
692420,FN597644.1,,
716540,FN666575.1,,
754252,FN806773.1,,
762550,FN822744.1,,
768066,FN869568.1,,
768679,FN869859.1,,
862719,FQ311868.1,,
932920,FR733648.1,,
932919,FR733646.1,,
866895,HE717023.1,,
859657,FP885906.2,,
879088,FR733644.1,,
879089,FR733645.1,,
879090,FR733650.1,,
882020,FR733649.1,,
882094,FR733642.2,,
882095,FR733643.1,,
882378,FR687359.1,,
926571,CP007536.1,,
941968,FR773526.1,,
994484,CP002585.1,,
702113,FR856862.1,,
572418,FR878060.1,,
1052684,HE577054.1,,
1114958,HE617159.1,,
1123863,HE617160.1,,
1127134,FO082843.1,,
1150469,HE663493.1,,
1138877,HE663067.1,,
477641,FO203431.1,,
1146883,FO117623.1,,
1155777,HE774679.1,,
1160721,HF545616.1,HF545617.1,
1163399,HE798556.1,,
187303,HE956757.1,,
568707,HE965806.1,,
1150476,HG328254.1,,
1028800,HG938353.1,,
1028801,HG938355.1,,
1179773,HE804045.1,,
273526,HG326223.1,,
1230587,HE995405.1,,
348824,HG916852.1,,
1216932,HG917868.1,HG917869.1,
269797,CP000099.1,,
263820,AE017261.1,,
240292,CP000118.1,CP000117.1,
264198,CP000090.1,CP000091.1,
265072,CP000284.1,,
264732,CP000232.1,,
262543,CP001022.1,,
266117,CP000386.1,,
267671,AE016824.1,AE016823.1,
266940,CP000750.2,,
266779,CP000390.1,,
482957,CP000152.1,CP000151.1,CP000150.1
269482,CP000616.1,CP000614.1,CP000615.1
271848,CP000086.1,CP000085.1,
261594,AE017334.2,,
420662,CP000555.1,,
281309,AE017355.1,,
260799,AE017225.1,,
205922,CP000094.2,,
1166016,CP003415.1,,
62977,CR543861.1,,
279010,CP000002.3,,
264730,CP000058.1,,
288681,CP000001.1,,
279808,AP006716.1,,
290340,CP000474.1,,
444178,CP000709.1,CP000708.1,
306263,CP000932.1,,
289380,CP000315.1,CP000312.1,
309800,CP001956.1,,
204536,CP001229.1,,
290317,CP000492.1,,
529507,AM942759.1,,
290397,CP000251.1,,
290398,CP000285.1,,
290402,CP000721.1,,
234267,CP000473.1,,
290399,CP000454.1,,
290338,CP000822.1,,
196162,CP000509.1,,
291331,AE013598.1,,
273123,BX936398.1,,
292459,AP006840.1,,
267608,AL646052.1,,
319225,CP000096.1,,
318586,CP000490.1,CP000489.1,
292415,CP000116.1,,
279010,AE017333.1,,
295319,CP000026.1,,
247156,AP006618.1,,
296591,CP000316.1,,
297245,CR628337.1,,
297246,CR628336.1,,
300268,CP000036.1,,
69014,AP006878.1,,
62928,AM406670.1,,
351348,CP000514.1,,
76114,CR555306.1,,
66692,AP006627.1,,
338963,CP000142.2,,
302409,CR925677.1,,
311402,CP000634.1,CP000633.1,
338966,CP000482.1,,
326297,CP000507.1,,
399804,CP002457.1,,
319224,CP000681.1,,
406818,FN667741.1,,
311403,CP000628.1,CP000629.1,
326423,CP000560.1,,
365044,CP000529.1,,
498761,CP000930.2,,
386043,AM263198.1,,
323097,CP000319.1,,
323098,CP000115.1,,
339670,CP000442.1,CP000440.1,CP000441.1
748727,CP001666.1,,
314724,CP000049.1,,
381666,AM260480.1,AM260479.1,
315730,CP000903.1,,
315749,CP000764.1,,
316273,AM039952.1,,
101510,CP000431.1,,
340099,CP000924.1,,
94122,CP000469.1,,
351746,CP000712.1,,
323848,CP000103.1,,
298653,CP000820.1,,
331272,CP000459.1,CP000458.1,CP000460.1
335284,CP000323.1,,
340177,CP000108.1,,
347834,CP000133.1,,
320373,CP000571.1,CP000570.1,
320372,CP000124.1,CP000125.1,
106370,CP000249.1,,
306537,CR931997.1,,
246197,CP000113.1,,
314565,CP000050.1,,
339860,CP000102.1,,
342451,AP008934.1,,
255470,AJ965256.1,,
336982,CP000717.1,,
345219,CP003056.1,,
232721,CP000539.1,,
397945,CP000512.1,,
347495,CP003187.1,,
1204414,HE802067.1,,
316058,CP000250.1,,
316057,CP000283.1,,
316056,CP000301.1,,
316055,CP000463.1,,
349163,CP000697.1,,
349101,CP000578.1,CP000577.1,
349102,CP000661.1,,
78245,CP000781.1,,
349106,CP000713.1,,
350054,CP000656.1,,
164756,CP000384.1,,
349124,CP000544.1,,
351605,CP000698.1,,
216389,CP000688.1,,
204669,CP000360.1,,
755178,CP003947.1,,
13035,CP003944.1,,
317936,CP003548.1,,
56110,CP003607.1,,
179408,CP003614.1,,
82654,CP003592.1,,
195253,CP003558.1,,
118163,CP003590.1,,
1173026,CP003646.1,,
1173025,CP003591.1,,
1173027,CP003630.1,,
111780,CP003653.1,,
1173263,CP003594.1,,
322710,CP001157.1,,
349520,CP000154.1,,
164757,CP000580.1,,
189918,CP000518.1,,
376686,CP000685.1,,
661410,FP103042.2,,
288000,CP000494.1,,
355276,CP000348.1,CP000349.1,
355277,CP000350.1,CP000351.1,
355278,CP000777.1,CP000778.1,
357348,CP000573.1,CP000572.1,
357809,CP000885.1,,
359391,AM040264.1,AM040265.1,
361100,CP000227.1,,
362242,CP000325.1,,
321327,CP000239.1,,
316067,CP001390.1,,
231023,CP003588.1,,
365046,CP000245.1,,
366394,CP000738.1,,
366602,CP000927.1,,
1184267,CP003537.1,,
349215,CP003538.1,,
369723,CP000667.1,,
399726,CP000923.1,,
376619,AM233362.1,,
316274,CP000875.1,,
375286,CP000269.1,,
138119,AP008230.1,,
360102,CP000308.1,,
377628,CP000305.1,,
546414,CP001114.1,,
381754,CP000744.1,,
1193806,CP004080.1,,
1193807,CP004079.1,,
1194085,CP003604.1,,
1194526,CP003668.1,,
1195464,CP003687.1,,
1196325,CP003734.1,,
1196835,CP003677.1,,
384676,CT573326.1,,
379731,CP000304.1,,
386415,CP000382.1,,
1198627,CP003699.1,CP003699.2,
1199187,CP005928.1,,
1121362,CP003697.1,,
1200352,CP003696.1,,
1201032,CP003871.2,,
1203460,CP003720.1,,
224911,BA000040.2,,
713604,CP003729.1,,
1207075,CP003880.1,,
446465,CP001643.1,,
390235,CP000949.1,,
391008,CP001111.1,,
391037,CP000850.1,,
391165,CP000394.1,,
1214242,CP006259.1,,
360104,CP000792.1,,
360105,CP000767.1,,
1217984,CP003747.1,,
1217737,CP003763.1,,
1218175,CP003752.1,,
391735,CP000542.1,,
1218358,CP003796.1,,
1218933,CP003776.1,,
1232554,CP007800.1,,
1221328,CP008698.1,,
