AG-212-P17#_Cp_1.7	+	Bacteria	100%	Acidobacteria	100%	Acidobacteria_Gp1	100%	Gp1	100%	Gp1	100%	Gp1	100%
AG-212-J06#_Cp_1.8	+	Bacteria	100%	Acidobacteria	100%	Acidobacteria_Gp4	100%	Gp4	100%	Gp4	100%	Gp4	100%
AG-212-B14#_Cp_2.1	+	Bacteria	100%	Acidobacteria	100%	Acidobacteria_Gp5	100%	Gp5	100%	Gp5	100%	Gp5	100%
AG-212-D20#_Cp_2.1	+	Bacteria	100%	Acidobacteria	100%	Acidobacteria_Gp6	100%	Gp6	100%	Gp6	100%	Gp6	100%
AG-212-G05#_Cp_2.3	+	Bacteria	100%	Acidobacteria	100%	Acidobacteria_Gp6	100%	Gp6	100%	Gp6	100%	Gp6	100%
AG-212-K13#_Cp_2.9	+	Bacteria	100%	Acidobacteria	100%	Acidobacteria_Gp6	100%	Gp6	100%	Gp6	100%	Gp6	100%
AG-212-P03#_Cp_2.5	+	Bacteria	100%	Acidobacteria	100%	Acidobacteria_Gp7	100%	Gp7	100%	Gp7	100%	Gp7	100%
AG-212-B03#_Cp_2.4	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	99%	Acidimicrobiales	99%	Acidimicrobineae_incertae_sedis	82%	Aciditerrimonas	82%
AG-212-B11#_Cp_3.7	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Acidimicrobiales	97%	Acidimicrobineae_incertae_sedis	96%	Aciditerrimonas	96%
AG-212-C20#_Cp_2.6	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	99%	Acidimicrobiales	99%	Acidimicrobineae_incertae_sedis	78%	Aciditerrimonas	78%
AG-212-G07#_Cp_3.1	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Acidimicrobiales	100%	Acidimicrobineae_incertae_sedis	42%	Aciditerrimonas	42%
AG-212-O20#_Cp_2.8	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Acidimicrobiales	97%	Acidimicrobineae_incertae_sedis	84%	Aciditerrimonas	84%
AG-212-F05#_Cp_3.5	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Actinomycetales	100%	Intrasporangiaceae	100%	Phycicoccus	56%
AG-212-E03#_Cp_2.8	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Actinomycetales	100%	Nocardioidaceae	100%	Nocardioides	100%
AG-212-C18#_Cp_2.6	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Gaiellales	100%	Gaiellaceae	100%	Gaiella	100%
AG-212-D13#_Cp_3.0	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Gaiellales	100%	Gaiellaceae	100%	Gaiella	100%
AG-212-L10#_Cp_4.0	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Gaiellales	100%	Gaiellaceae	100%	Gaiella	100%
AG-212-M14#_Cp_3.1	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Gaiellales	100%	Gaiellaceae	100%	Gaiella	100%
AG-212-P06#_Cp_2.6	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	100%	Gaiellales	100%	Gaiellaceae	100%	Gaiella	100%
AG-212-D09#_Cp_2.7	+	Bacteria	100%	Actinobacteria	100%	Actinobacteria	99%	Solirubrobacterales	99%	Conexibacteraceae	52%	Conexibacter	52%
AG-212-G16#_Cp_1.7	+	Bacteria	100%	Bacteroidetes	100%	Flavobacteriia	100%	Flavobacteriales	100%	Flavobacteriaceae	100%	Flavobacterium	100%
AG-212-C10#_Cp_2.3	+	Bacteria	100%	Chloroflexi	49%	Ardenticatenia	28%	Ardenticatenales	28%	Ardenticatenaceae	28%	Ardenticatena	28%
AG-212-M09#_Cp_2.8	+	Bacteria	100%	Chloroflexi	47%	Dehalococcoidetes	37%	Dehalogenimonas	37%	Dehalogenimonas	37%	Dehalogenimonas	37%
AG-212-O11#_Cp_3.8	+	Bacteria	93%	Firmicutes	93%	Bacilli	92%	Bacillales	92%	Bacillaceae 2	81%	Tuberibacillus	73%
AG-212-P22#_Cp_1.8	+	Bacteria	100%	Gemmatimonadetes	100%	Gemmatimonadetes	100%	Gemmatimonadales	100%	Gemmatimonadaceae	100%	Gemmatimonas	100%
AG-212-C14#_Cp_1.7	+	Bacteria	100%	Nitrospirae	100%	Nitrospira	100%	Nitrospirales	100%	Nitrospiraceae	100%	Nitrospira	100%
AG-212-E16#_Cp_1.6	+	Bacteria	100%	Nitrospirae	100%	Nitrospira	100%	Nitrospirales	100%	Nitrospiraceae	100%	Nitrospira	100%
AG-212-J14#_Cp_1.7	+	Bacteria	100%	Nitrospirae	100%	Nitrospira	100%	Nitrospirales	100%	Nitrospiraceae	100%	Nitrospira	100%
AG-212-N08#_Cp_1.9	+	Bacteria	100%	Nitrospirae	100%	Nitrospira	100%	Nitrospirales	100%	Nitrospiraceae	100%	Nitrospira	100%
AG-212-C04#_Cp_1.9	+	Bacteria	100%	Planctomycetes	100%	Planctomycetia	100%	Planctomycetales	100%	Planctomycetaceae	100%	Blastopirellula	40%
AG-212-I22#_Cp_2.1	+	Bacteria	100%	Planctomycetes	100%	Planctomycetia	100%	Planctomycetales	100%	Planctomycetaceae	100%	Blastopirellula	38%
AG-212-E22#_Cp_1.6	+	Bacteria	100%	Planctomycetes	100%	Planctomycetia	100%	Planctomycetales	100%	Planctomycetaceae	100%	Gemmata	57%
AG-212-F19#_Cp_1.7	+	Bacteria	100%	Planctomycetes	100%	Planctomycetia	100%	Planctomycetales	100%	Planctomycetaceae	100%	Gemmata	53%
