Strain,Soil,Root,Rhizosphere,Sludge,Sand,mud,rhizome,sediment,nodule,Soil2,Root2,Rhizosphere2,Sludge2,Sand2,mud2,rhizome2,sediment2,nodule2,total_words,final
Geobacillus_sp._Y41MC1,5,0,0,0,1,1,0,3,0,1.091703057,0,0,0,0.218340611,0.218340611,0,0.655021834,0,458,0
Ignisphaera_aggregans_AQ1S1_DSM_17230,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0.958466454,0,0.638977636,0,313,0
Lactobacillus_johnsonii_N62,5,3,0,0,0,0,0,0,0,1.146788991,0.688073394,0,0,0,0,0,0,0,436,0
Lactobacillus_sanfranciscensis_TMW_11304,3,4,1,0,0,0,0,0,0,0.917431193,1.22324159,0.305810398,0,0,0,0,0,0,327,0
Lactococcus_lactis_cremoris_UC5099,3,1,0,0,1,0,0,1,0,0.688073394,0.229357798,0,0,0.229357798,0,0,0.229357798,0,436,0
Lactococcus_lactis_lactis_KLDS_40325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Phaeobacter_gallaeciensis_210,3,1,1,0,0,0,0,4,1,0.705882353,0.235294118,0.235294118,0,0,0,0,0.941176471,0.235294118,425,0
Streptococcus_oligofermentans_AS_13089,4,2,0,0,0,1,0,1,0,1.369863014,0.684931507,0,0,0,0.342465753,0,0.342465753,0,292,0
Sulfolobus_islandicus_M1425,1,4,1,0,0,0,0,4,0,0.245700246,0.982800983,0.245700246,0,0,0,0,0.982800983,0,407,0
Sulfolobus_islandicus_YG5714,3,3,1,0,0,1,0,1,0,0.714285714,0.714285714,0.238095238,0,0,0.238095238,0,0.238095238,0,420,0
Sulfolobus_islandicus_YN1551,1,4,1,0,0,1,0,1,0,0.242718447,0.970873786,0.242718447,0,0,0.242718447,0,0.242718447,0,412,0
Thermoanaerobacter_wiegelii_Rt8B1,3,1,0,2,0,1,0,1,0,1.003344482,0.334448161,0,0.668896321,0,0.334448161,0,0.334448161,0,299,0
Thermus_thermophilus_SG05JP17-16,5,1,0,1,0,1,0,2,0,1.103752759,0.220750552,0,0.220750552,0,0.220750552,0,0.441501104,0,453,0
Acaryochloris_marina_MBIC11017,7,1,0,0,0,0,0,1,0,1.907356948,0.272479564,0,0,0,0,0,0.272479564,0,367,0
Acetohalobium_arabaticum_Z-7288_DSM_5501,1,1,0,0,1,0,0,0,0,0.934579439,0.934579439,0,0,0.934579439,0,0,0,0,107,0
Acholeplasma_oculi_19L_ATCC_27350,1,0,0,0,0,0,0,0,0,1.587301587,0,0,0,0,0,0,0,0,63,0
Acidaminococcus_fermentans_VR4_DSM_20731,2,3,0,0,1,0,0,0,0,0.760456274,1.140684411,0,0,0.380228137,0,0,0,0,263,0
Acidaminococcus_intestini_RyC-MR95,4,3,0,1,1,0,0,0,1,1.033591731,0.775193798,0,0.258397933,0.258397933,0,0,0,0.258397933,387,0
Acidianus_hospitalis_W1,2,2,1,0,2,0,0,1,0,0.466200466,0.466200466,0.233100233,0,0.466200466,0,0,0.233100233,0,429,0
Acidilobus_saccharovorans_345-15,1,4,1,0,0,2,0,1,0,0.250626566,1.002506266,0.250626566,0,0,0.501253133,0,0.250626566,0,399,0
Acidimicrobium_ferrooxidans_ICP_DSM_10331,4,1,0,1,2,0,0,1,0,1.092896175,0.273224044,0,0.273224044,0.546448087,0,0,0.273224044,0,366,0
Acidithiobacillus_caldus_SM-1,1,0,0,3,4,0,0,1,0,0.210970464,0,0,0.632911392,0.843881857,0,0,0.210970464,0,474,0
Acidithiobacillus_ferrooxidans_ATCC_53993,2,0,0,0,5,0,0,0,0,0.434782609,0,0,0,1.086956522,0,0,0,0,460,0
Acidothermus_cellulolyticus_11B,8,2,1,0,0,1,0,0,1,2.077922078,0.519480519,0.25974026,0,0,0.25974026,0,0,0.25974026,385,0
Aciduliprofundum_boonei_T469,2,4,1,0,1,0,0,5,0,0.464037123,0.928074246,0.232018561,0,0.232018561,0,0,1.160092807,0,431,0
Aciduliprofundum_sp._MAR08-339,2,2,0,0,0,0,0,4,0,0.877192982,0.877192982,0,0,0,0,0,1.754385965,0,228,0
Acinetobacter_baumannii_1656-2,7,1,1,0,0,0,0,0,0,1.397205589,0.199600798,0.199600798,0,0,0,0,0,0,501,0
Acinetobacter_baumannii_AB0057,8,0,2,0,1,0,0,0,0,1.801801802,0,0.45045045,0,0.225225225,0,0,0,0,444,0
Acinetobacter_baumannii_AB07,6,1,0,0,0,0,0,0,0,1.734104046,0.289017341,0,0,0,0,0,0,0,346,0
Acinetobacter_baumannii_AB30,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,100,0
Acinetobacter_baumannii_AB307-0294,8,2,0,1,0,0,0,0,0,1.891252955,0.472813239,0,0.236406619,0,0,0,0,0,423,0
Acinetobacter_baumannii_AB31,2,1,0,0,0,0,0,1,0,1.041666667,0.520833333,0,0,0,0,0,0.520833333,0,192,0
Acinetobacter_baumannii_AC12,10,0,0,0,0,0,0,0,0,2.652519894,0,0,0,0,0,0,0,0,377,0
Acinetobacter_baumannii_AC29,2,1,1,0,0,0,0,2,0,1.117318436,0.558659218,0.558659218,0,0,0,0,1.117318436,0,179,0
Acinetobacter_baumannii_AC30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Acinetobacter_baumannii_ACICU,9,1,0,0,0,0,0,0,0,1.927194861,0.214132762,0,0,0,0,0,0,0,467,0
Acinetobacter_baumannii_ATCC_17978,9,0,0,1,0,0,0,0,0,2,0,0,0.222222222,0,0,0,0,0,450,0
Acinetobacter_baumannii_AYE,10,0,0,0,0,0,0,0,0,2.232142857,0,0,0,0,0,0,0,0,448,0
Acinetobacter_baumannii_D1279779,3,0,1,0,0,0,0,0,0,1.595744681,0,0.531914894,0,0,0,0,0,0,188,0
Acinetobacter_baumannii_MDR-TJ,7,1,0,0,1,1,0,1,0,1.315789474,0.187969925,0,0,0.187969925,0.187969925,0,0.187969925,0,532,0
Acinetobacter_baumannii_MDR-ZJ06,6,4,1,1,0,0,0,0,0,1.239669421,0.826446281,0.20661157,0.20661157,0,0,0,0,0,484,0
Acinetobacter_baumannii_SDF,10,0,0,0,0,0,0,0,0,2.164502165,0,0,0,0,0,0,0,0,462,0
Acinetobacter_baumannii_TCDC-AB0715,6,1,2,0,0,0,0,0,0,1.282051282,0.213675214,0.427350427,0,0,0,0,0,0,468,0
Acinetobacter_baumannii_TYTH-1,1,2,0,1,0,0,0,1,0,0.374531835,0.74906367,0,0.374531835,0,0,0,0.374531835,0,267,0
Acinetobacter_baumannii_ZW85-1,1,2,0,0,0,0,0,1,1,0.578034682,1.156069364,0,0,0,0,0,0.578034682,0.578034682,173,0
Actinobacillus_pleuropneumoniae_L20,6,0,0,0,0,0,0,2,0,1.234567901,0,0,0,0,0,0,0.411522634,0,486,0
