NC_000913	RefSoil_1
NC_000963	RefSoil_2
NC_000964	RefSoil_3
NC_001263	RefSoil_4
NC_002488	RefSoil_5
NC_002516	RefSoil_6
NC_002570	RefSoil_7
NC_002578	RefSoil_8
NC_002678	RefSoil_9
NC_002689	RefSoil_10
NC_002927	RefSoil_11
NC_002936	RefSoil_12
NC_002937	RefSoil_13
NC_002939	RefSoil_14
NC_002944	RefSoil_15
NC_002971	RefSoil_16
NC_002973	RefSoil_17
NC_003030	RefSoil_18
NC_003062	RefSoil_19
NC_003155	RefSoil_20
NC_003197	RefSoil_21
NC_003212	RefSoil_22
NC_003272	RefSoil_23
NC_003295	RefSoil_24
NC_003361	RefSoil_25
NC_003366	RefSoil_26
NC_003552	RefSoil_27
NC_003901	RefSoil_28
NC_003902	RefSoil_29
NC_003909	RefSoil_30
NC_003997	RefSoil_31
NC_004129	RefSoil_32
NC_004193	RefSoil_33
NC_004342	RefSoil_34
NC_004347	RefSoil_35
NC_004369	RefSoil_36
NC_004463	RefSoil_37
NC_004547	RefSoil_38
NC_004551	RefSoil_39
NC_004556	RefSoil_40
NC_004557	RefSoil_41
NC_004572	RefSoil_42
NC_004631	RefSoil_43
NC_004663	RefSoil_44
NC_004722	RefSoil_45
NC_004757	RefSoil_46
NC_005085	RefSoil_47
NC_005125	RefSoil_48
NC_005296	RefSoil_49
NC_005363	RefSoil_50
NC_005773	RefSoil_51
NC_005823	RefSoil_52
NC_005861	RefSoil_53
NC_005877	RefSoil_54
NC_005945	RefSoil_55
NC_005966	RefSoil_56
NC_005967	RefSoil_57
NC_006037	RefSoil_58
NC_006043	RefSoil_59
NC_006155	RefSoil_60
NC_006177	RefSoil_61
NC_006274	RefSoil_62
NC_006322	RefSoil_63
NC_006350	RefSoil_64
NC_006361	RefSoil_65
NC_006368	RefSoil_66
NC_006369	RefSoil_67
NC_006511	RefSoil_68
NC_006513	RefSoil_69
NC_006582	RefSoil_70
NC_006624	RefSoil_71
NC_006670	RefSoil_72
NC_006831	RefSoil_73
NC_006834	RefSoil_74
NC_006905	RefSoil_75
NC_006932	RefSoil_76
NC_006958	RefSoil_77
NC_007086	RefSoil_78
NC_007164	RefSoil_79
NC_007168	RefSoil_80
NC_007204	RefSoil_81
NC_007298	RefSoil_82
NC_007333	RefSoil_83
NC_007355	RefSoil_84
NC_007356	RefSoil_85
NC_007404	RefSoil_86
NC_007406	RefSoil_87
NC_007434	RefSoil_88
NC_007492	RefSoil_89
NC_007493	RefSoil_90
NC_007498	RefSoil_91
NC_007508	RefSoil_92
NC_007510	RefSoil_93
NC_007512	RefSoil_94
NC_007514	RefSoil_95
NC_007517	RefSoil_96
NC_007519	RefSoil_97
NC_007530	RefSoil_98
NC_007613	RefSoil_99
NC_007614	RefSoil_100
NC_007618	RefSoil_101
NC_007644	RefSoil_102
NC_007651	RefSoil_103
NC_007681	RefSoil_104
NC_007760	RefSoil_105
NC_007761	RefSoil_106
NC_007775	RefSoil_107
NC_007777	RefSoil_108
NC_007778	RefSoil_109
NC_007794	RefSoil_110
NC_007798	RefSoil_111
NC_007880	RefSoil_112
NC_007907	RefSoil_113
NC_007925	RefSoil_114
NC_007947	RefSoil_115
NC_007948	RefSoil_116
NC_007958	RefSoil_117
NC_007963	RefSoil_118
NC_007964	RefSoil_119
NC_007969	RefSoil_120
NC_007973	RefSoil_121
NC_008009	RefSoil_122
NC_008027	RefSoil_123
NC_008095	RefSoil_124
NC_008146	RefSoil_125
NC_008148	RefSoil_126
NC_008149	RefSoil_127
NC_008150	RefSoil_128
NC_008245	RefSoil_129
NC_008254	RefSoil_130
NC_008255	RefSoil_131
NC_008261	RefSoil_132
NC_008268	RefSoil_133
NC_008278	RefSoil_134
NC_008313	RefSoil_135
NC_008343	RefSoil_136
NC_008380	RefSoil_137
NC_008390	RefSoil_138
NC_008435	RefSoil_139
NC_008463	RefSoil_140
NC_008497	RefSoil_141
NC_008508	RefSoil_142
NC_008510	RefSoil_143
NC_008536	RefSoil_144
NC_008541	RefSoil_145
NC_008542	RefSoil_146
NC_008593	RefSoil_147
NC_008595	RefSoil_148
NC_008609	RefSoil_149
NC_008639	RefSoil_150
NC_008699	RefSoil_151
NC_008700	RefSoil_152
NC_008702	RefSoil_153
NC_008705	RefSoil_154
NC_008710	RefSoil_155
NC_008711	RefSoil_156
NC_008740	RefSoil_157
NC_008752	RefSoil_158
NC_008781	RefSoil_159
NC_008782	RefSoil_160
NC_008786	RefSoil_161
NC_008789	RefSoil_162
NC_008825	RefSoil_163
NC_009012	RefSoil_164
NC_009049	RefSoil_165
NC_009074	RefSoil_166
NC_009077	RefSoil_167
NC_009076	RefSoil_168
NC_009142	RefSoil_169
NC_009256	RefSoil_170
NC_009328	RefSoil_171
NC_009338	RefSoil_172
NC_009342	RefSoil_173
NC_009380	RefSoil_174
NC_009428	RefSoil_175
NC_009434	RefSoil_176
NC_009436	RefSoil_177
NC_009438	RefSoil_178
NC_009439	RefSoil_179
NC_009441	RefSoil_180
NC_009445	RefSoil_181
NC_009455	RefSoil_182
NC_009464	RefSoil_183
NC_009480	RefSoil_184
NC_009483	RefSoil_185
NC_009484	RefSoil_186
NC_009494	RefSoil_187
NC_009505	RefSoil_188
NC_009511	RefSoil_189
NC_009512	RefSoil_190
NC_009515	RefSoil_191
NC_009524	RefSoil_192
NC_009565	RefSoil_193
NC_009617	RefSoil_194
NC_009648	RefSoil_195
NC_009654	RefSoil_196
NC_009659	RefSoil_197
NC_009664	RefSoil_198
NC_009667	RefSoil_199
NC_009674	RefSoil_200
NC_009675	RefSoil_201
NC_009698	RefSoil_202
NC_009706	RefSoil_203
NC_009712	RefSoil_204
NC_009715	RefSoil_205
NC_009720	RefSoil_206
NC_009725	RefSoil_207
NC_009792	RefSoil_208
NC_009802	RefSoil_209
NC_009832	RefSoil_210
NC_009848	RefSoil_211
NC_009943	RefSoil_212
NC_009953	RefSoil_213
NC_010001	RefSoil_214
NC_010002	RefSoil_215
NC_010084	RefSoil_216
