otu	Andisols	Gelisols	Vertisols	Mollisols	Inceptisols	Alfisols	Ultisols	Sand,Rock,Ice	Entisols
1123259	9.0	6509.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0
4422405	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0
68617	0.0	0.0	99.0	671.0	0.0	483.0	0.0	2.0	0.0
4400098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
676211	2.0	0.0	9.0	20.0	0.0	0.0	3.0	2.0	1.0
90701	0.0	0.0	231.0	1506.0	0.0	79.0	0.0	0.0	0.0
588637	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
210269	0.0	0.0	259.0	8403.0	0.0	1827.0	0.0	0.0	0.0
4295725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
108433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4483058	0.0	0.0	0.0	2.0	0.0	1301.0	0.0	0.0	0.0
811257	472.0	23.0	383.0	5039.0	10.0	17.0	9.0	107.0	65.0
144057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
274365	0.0	0.0	25.0	1629.0	0.0	0.0	0.0	0.0	0.0
260261	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004649	0.0	0.0	8.0	474.0	2.0	63.0	1.0	1.0	1.0
3950303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2534143	0.0	0.0	4.0	411.0	0.0	24.0	0.0	0.0	0.0
4350611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
136025	0.0	0.0	2.0	35.0	0.0	0.0	0.0	0.0	0.0
274754	0.0	0.0	0.0	1078.0	0.0	29.0	0.0	0.0	0.0
673343	0.0	0.0	5.0	1764.0	15.0	0.0	0.0	36.0	1.0
308848	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0
350563	0.0	0.0	16.0	1682.0	1.0	0.0	0.0	1.0	4.0
831098	0.0	0.0	0.0	254.0	46.0	0.0	0.0	0.0	0.0
72646	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0
829702	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
781055	0.0	9.0	13.0	138.0	0.0	3.0	0.0	0.0	0.0
814442	0.0	0.0	6.0	293.0	0.0	0.0	0.0	0.0	0.0
4416113	0.0	0.0	2.0	14.0	0.0	0.0	0.0	0.0	0.0
277566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4119088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3701019	4.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0
312988	0.0	0.0	0.0	49.0	0.0	568.0	0.0	0.0	0.0
1120966	2.0	0.0	17292.0	49009.0	11.0	51.0	0.0	3.0	13.0
3610691	82.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
239139	0.0	14.0	17.0	8232.0	290.0	2.0	0.0	104.0	5.0
4045633	0.0	0.0	1433.0	1912.0	0.0	58.0	0.0	0.0	1.0
4423410	2.0	4.0	1075.0	7311.0	1.0	38.0	0.0	4.0	29.0
238148	0.0	3.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
650171	0.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
3505032	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4477719	0.0	2.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0
4352233	0.0	0.0	0.0	8321.0	0.0	0.0	0.0	0.0	0.0
719608	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
4469492	0.0	0.0	41.0	1595.0	0.0	0.0	0.0	0.0	0.0
576010	6.0	2.0	0.0	123.0	0.0	0.0	0.0	2.0	0.0
817926	0.0	0.0	0.0	59.0	0.0	24.0	0.0	0.0	1.0
269930	0.0	69.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0
679605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4395995	0.0	0.0	99.0	390.0	1.0	0.0	3.0	12.0	1.0
4445604	0.0	0.0	788.0	2084.0	0.0	117.0	0.0	0.0	0.0
137056	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0
161154	0.0	0.0	897.0	6944.0	0.0	2.0	0.0	0.0	0.0
4369229	0.0	14.0	0.0	3.0	1.0	11.0	0.0	0.0	0.0
4128270	0.0	7.0	7.0	926.0	4.0	0.0	0.0	1.0	1.0
4322642	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0
155221	27.0	2.0	33.0	40585.0	1.0	246.0	2.0	3.0	5.0
4389529	0.0	0.0	0.0	2.0	6.0	3.0	0.0	0.0	0.0
3691753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
584176	0.0	0.0	594.0	1377.0	0.0	21.0	0.0	0.0	2.0
144589	0.0	0.0	13.0	520.0	0.0	3.0	0.0	0.0	0.0
252822	0.0	0.0	525.0	6829.0	0.0	3458.0	0.0	0.0	0.0
394796	0.0	0.0	3.0	600.0	0.0	15.0	0.0	0.0	0.0
4467400	13.0	4.0	0.0	166.0	15.0	21.0	0.0	2.0	0.0
4437318	0.0	0.0	334.0	93.0	0.0	26.0	0.0	0.0	0.0
141145	0.0	0.0	45.0	38.0	0.0	0.0	0.0	0.0	0.0
161269	0.0	0.0	116.0	23.0	0.0	0.0	0.0	0.0	0.0
4381473	0.0	0.0	319.0	1794.0	0.0	107.0	0.0	0.0	0.0
New.1.CleanUp.ReferenceOTU40941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3694331	15.0	1143.0	0.0	0.0	36.0	206.0	0.0	0.0	0.0
4457669	2.0	4.0	4.0	107.0	0.0	76.0	0.0	0.0	0.0
786067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4476862	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
574140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
152466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
206978	0.0	2.0	2.0	0.0	0.0	7.0	0.0	0.0	0.0
10418	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
1055222	62.0	4.0	0.0	0.0	0.0	338.0	0.0	0.0	0.0
