progress	50.2																																														
Notes	Final	Who	known habitat	Isolation_ecosystem_category	Isolation_ecosystem_type	Kingdom	Phyla-Order	GOLD Project ID	Project Name	Other Names	Legacy ER Project ID	Legacy GOLD ID	NCBI BioProject Name	NCBI BioProject ID	NCBI BioProject Accession	NCBI Locus Tag	NCBI Bio Project Description	Project Comments	Project Description	Sequencing Comments	Library Method	Number Of Reads	Sequencing Depth	Vector	GC Percent	Chromosome Count	Plasmid Count	Cultured	Organism Type	ITS Proposal ID	ITS SPID	GPTS Proposal ID	PMO Project ID	Last Modified Date	Add Date	Genetically modified										Keywords for soil	
		Adina	none	none	none	Archaea	0	Gp0008478	halophilic archaeon DL31	halophilic archaeon DL31	1213	Gc01931	halophilic archaeon DL31	52855	PRJNA52855	Halar			halophilic archaeon DL31 genome sequencing						62	1	2	Yes	Natural	246		300573	402830	4/8/14	9/29/10											root	
		Adina	Aquatic-Extreme-Fresh water-Hot spring-Terrestrial	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0006576	"Pyrobaculum oguniense TE7, DSM 13380"		559	Gc02118	Pyrobaculum oguniense TE7	42375	PRJNA42375	POGU			Pyrobaculum oguniense TE7. P. oguniense is a fully aerobic Pyrobaculum species. The genomic DNA was isolated from a serial dilution to near-extinction liquid culture of strain TE7		"Roche 454 Titanium library, SOLiD 2?25 Mate-pair (1k-3.5k insert)"		"59? 454, 500? SOLiD"		55	1	1	Yes	Natural					4/8/14	1/2/10											nodule	
		Adina	Aquatic-Extreme-Fresh water-Terrestrial	Aquatic	Freshwater	Archaea	Crenarchaeota	Gp0012826	Pyrobaculum sp. 1860		20135	Gc02022	Pyrobaculum sp. 1860	74711	PRJNA74711	P186			Pyrobaculum sp. 1860 Genome sequencing						57	1	0	Yes	Natural					4/8/14	11/11/11											sediment	check to see if it is a marine sediment
		Adina	Aquatic-Fresh water-Host	Wastewater	Industrial wastewater	Archaea	Crenarchaeota	Gp0000241	Pyrobaculum islandicum DSM 4184	Pyrobaculum islandicum	10210	Gc00475	Pyrobaculum islandicum DSM 4184	16743	PRJNA16743	Pisl			Hyperthermophilic anaerobe				12x		50	1	0	Yes	Natural			3314	16308	4/8/14	11/27/07											mud	check to see if it is a mud sediment
		Adina	Aquatic-Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0000025	Caldivirga maquilingensis IC-167	Caldivirga maquilingensis IC-167	10011	Gc00674	Caldivirga maquilingensis IC-167	17421	PRJNA17421	Cmaq			Hyperthermophilic crenarchaeota						43	1	0	Yes	Natural			15920	16633	3/26/14	11/27/07											soil	
		Adina	Aquatic-Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0003959	"Desulfurococcus fermentans Z-1312, DSM 16532"	Desulfurococcus fermentans DSM 16532	13805	Gc02260	"Desulfurococcus fermentans Z-1312, DSM 16532"	49401	PRJNA49401	Desfe			Desulfurococcus fermentans is the first known cellulolytic archaeon. This hyperthermophilic and strictly anaerobic crenarchaeon produces hydrogen from fermentation of various carbohydrates and peptides without inhibition by accumulating hydrogen				30x		45	1	0	Yes	Natural	858		300145	400457	4/8/14	7/11/08											rhizo	
hotsprings	0	Adina	Aquatic-Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0010862	Metallosphaera cuprina Ar-4		19557	Gc01737	Metallosphaera cuprina Ar-4	65497	PRJNA65497	MCUP			Metallosphaera cuprina Ar-4 genome sequencing						42	1	0	Yes	Natural					4/8/14	4/19/11												
hotsprings	0	Adina	Aquatic-Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0000172	"Pyrobaculum arsenaticum PZ6, DSM 13514"	Pyrobaculum arsenaticum	10145	Gc00540	Pyrobaculum arsenaticum DSM 13514	15582	PRJNA15582	Pars			Arsenate-reducing hyperthermophile				11x		55	1	0	Yes	Natural			3314	16306	4/8/14	11/27/07												
hotsprings	0	Adina	Aquatic-Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0000196	Pyrobaculum calidifontis JCM 11548	Pyrobaculum calidifontis	10168	Gc00517	Pyrobaculum calidifontis JCM 11548	18111	PRJNA18111	Pcal			Facultatively anaerobic hyperthermophile				12x		57	1	0	Yes	Natural			3314	16307	5/20/14	11/27/07												
hotsprings	0	Adina	Aquatic-Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0000728	Sulfolobus solfataricus P2		10629	Gc00057	Sulfolobus solfataricus P2	108	PRJNA108	SSO			Hyperthermophilic acidophilic sulfur-metabolizing archeon		lambda and BAc libraries	30000	5x	"lambda-DASHII/Eco RI, pUC18"	36	1	0	Yes	Natural					7/31/14	11/27/07												
hotsprings	0	Adina	Aquatic-Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0000243	Thermofilum pendens Hrk 5	Thermofilum pendens Hrk 5	10212	Gc00473	Thermofilum pendens Hrk 5	16331	PRJNA16331	Tpen			Hyperthermophilic crenarchaeota		"3 Kb, 6 Kb, 40 Kb"		11x		58	1	1	Yes	Natural			3466	16904	4/8/14	11/27/07												
hotsprings	0	Adina	Aquatic-Fresh water-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0002327	Thermoproteus neutrophilus V24Sta	Thermoproteus neutrophilus V24Sta	12219	Gc00753	Thermoproteus neutrophilus V24Sta	15645	PRJNA15645	Tneu			Hyperthermophilic crenarchaeota						60	1	0	Yes	Natural			3314	16767	4/8/14	11/27/07												
		Adina	Aquatic-Fresh water-Hot spring-Hydrothermal vent	Aquatic	Marine	Archaea	Crenarchaeota	Gp0002325	"Staphylothermus hellenicus P8, DSM 12710"	Staphylothermus hellenicus DSM 12710	12217	Gc01350	Staphylothermus hellenicus DSM 12710	33683	PRJNA33683	Shell			Hyperthermophilic archaeon				"462x Illumina, 132x pyrosequencing"		37	1	0	Yes	Natural			52327	202858	3/26/14	11/27/07												
		Adina	Aquatic-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0003486	"Caldisphaera lagunensis IC-154, DSM 15908"	Caldisphaera lagunensis DSM 15908	13491	Gc02448	Caldisphaera lagunensis DSM 15908	70815	PRJNA70815	Calag			GEBA						30	1	0	Yes	Natural	867		97601	98032	4/8/14	1/15/08												
	1	Adina	Aquatic-Hot spring	Terrestrial	Volcanic	Archaea	Crenarchaeota	Gp0003490	"Desulfurococcus mucosus 07/1, DSM 2162"	Desulfurococcus mucosus DSM 2162	13494	Gc01595	Desulfurococcus mucosus DSM 2162	48641	PRJNA48641	Desmu			Desulfurococcus mucosus DSM 2162 Genome sequencing				"75.7x Illumina, 44.8x pyrosequence"		53	1	0	Yes	Natural	867		97601	98048	4/8/14	1/15/08												
hotsprings	0	Adina	Aquatic-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0003222	"Ignisphaera aggregans AQ1.S1, DSM 17230"	Ignisphaera aggregans DSM 17230	40	Gc01330	Ignisphaera aggregans DSM 17230	33361	PRJNA33361	Igag			"A hyperthermophilic crenarchaeote isolated from hot springs in Rotorua and Tokaanu, New Zealand"				94.5x pyrosequence and Illumina		36	1	0	Yes	Natural	867		97601	98010	4/8/14	2/6/08												
		Adina	Aquatic-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0000473	"Sulfolobus acidocaldarius 98-3, DSM 639"		10412	Gc00273	Sulfolobus acidocaldarius DSM 639	13935	PRJNA13935	Saci			Extreme thermoacidophilic sulfur-oxidizing archaeon			19761	5.8x		37	1	0	Yes	Natural					5/20/14	11/27/07												
hotsprings	0	Adina	Aquatic-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0002334	Sulfolobus islandicus M.14.25	Sulfolobus islandicus M.14.25	12225	Gc00992	Sulfolobus islandicus M.14.25	18871	PRJNA18871	M1425			Isolated from a hot spring on the Kamchatka Penninsula		"3-, 8-, and 40-kbp libraries"				35	1	0	Yes	Natural			3733	16895	4/8/14	11/27/07												
		Adina	Aquatic-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0019171	Thermogladius cellulolyticus 1633		38894	Gc02434	Thermogladius cellulolyticus 1633	163135	PRJNA163135	TCELL			Thermogladius celulosolyticus 1633 will be used for comparative analysis.						56	1	0	Yes	Natural					4/8/14	12/9/12												
		Adina	Aquatic-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0003688	"Thermosphaera aggregans M11TL, DSM 11486"	Thermosphaera aggregans DSM 11486	13527	Gc01275	Thermosphaera aggregans DSM 11486	36571	PRJNA36571	Tagg			This strain will be used for comparative genome analysis		"454 standard, 454 pair end, Illumina"		"104.8x 454-Titanium, 277x Illumina"		47	1	0	Yes	Natural	867		97601	97959	8/4/14	1/19/08												
		Adina	Aquatic-Hot spring	Aquatic	Thermal springs	Archaea	Crenarchaeota	Gp0003691	Vulcanisaeta distributa DSM 14429	Vulcanisaeta distributa DSM 14429	13531	Gc01374	Vulcanisaeta distributa DSM 14429	32589	PRJNA32589	Vdis			Hyperthermophilic archeon				106x 454		45	1	0	Yes	Natural	867		97601	97988	4/8/14	1/19/08												
from a deep-sea hydrothermal v	0	Adina	Aquatic-Hot spring-Hydrothermal vent-Marine	none	none	Archaea	Crenarchaeota	Gp0048799	"Aeropyrum camini SY1, JCM 12091"		55594	Gc0055594	Aeropyrum camini SY1 = JCM 12091	221786	PRJDB107	ACAM		"The increasing number of genome sequences of archaea and bacteria show their adaptation to different environmental conditions at the genomic level. Aeropyrum spp. are aerobic and hyperthermophilic archaea. Aeropyrum camini was isolated from a deep-sea hydrothermal vent, and Aeropyrum pernix was isolated from a coastal solfataric vent. To investigate the adaptation strategy in each habitat, we compared the genomes of the two species. Shared genome features were a small genome size, a high GC content, and a large portion of orthologous genes (86 to 88%). The genomes also showed high synteny. These shared features may have been derived from the small number of mobile genetic elements and the lack of a RecBCD system, a recombinational enzyme complex. In addition, the specialized physiology (aerobic and hyperthermophilic) of Aeropyrum spp. may also contribute to the entire-genome similarity. Despite having stable genomes, interference of synteny occurred with two proviruses, A. pernix spindle-shaped virus 1 (APSV1) and A. pernix ovoid virus 1 (APOV1), and clustered regularly interspaced short palindromic repeat (CRISPR) elements. Spacer sequences derived from the A. camini CRISPR showed significant matches with protospacers of the two proviruses infecting A. pernix, indicating that A. camini interacted with viruses closely related to APSV1 and APOV1. Furthermore, a significant fraction of the nonorthologous genes (41 to 45%) were proviral genes or ORFans probably originating from viruses. Although the genomes of A. camini and A. pernix were conserved, we observed nonsynteny that was attributed primarily to virus-related elements. Our findings indicated that the genomic diversification of Aeropyrum spp. is substantially caused by viruses."					67x		57	1	0	Yes	Natural					5/20/14	10/11/13												
		Adina	Aquatic-Hot spring-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Crenarchaeota	Gp0000066	"Ignicoccus hospitalis KIN4/I, DSM 18386"	Ignicoccus hospitalis KIN4/I	10049	Gc00636	Ignicoccus hospitalis KIN4/I	13914	PRJNA13914	Igni			Isolated from gravel from the Kolbeinsey Ridge		"3Kb, 6Kb, 40Kb"		12x		57	1	0	Yes	Natural			300174	16090	4/8/14	11/27/07												
